#Base pair	Mean Quality Score
1	30.158167161502497
2	30.777205278940773
3	33.78220402999631
4	34.593560181621456
5	35.101562980325205
6	37.95055633191032
7	38.00725455660324
8	38.23399163381331
9	38.435973006061566
10	38.31674259921428
11	38.41839143027672
12	38.45483860439929
13	38.31101137082485
14	38.39652427433381
15	38.248926881613954
16	38.01057951697763
17	38.12035227515534
18	38.26334323693233
19	38.07170036366603
20	38.17151072810056
21	38.01708748462667
22	38.031970027204785
23	38.203262344532845
24	38.220033209658446
25	38.22972623828264
26	38.2097893680999
27	38.18121423169846
28	38.23132525609625
29	38.197060441575616
30	38.149044695474004
31	38.025469357625475
32	37.65506342403876
33	37.56962167326844
34	37.35705548186139
35	37.23114081947632
36	37.144484946299656
37	37.095894549472
38	37.10797906277121
39	37.075362863206465
40	37.457104149883136
41	37.68202258720922
42	37.84728702103819
43	37.84119623814375
44	38.00377114194846
45	38.02351418795271
46	38.00344884861801
47	38.0415836745236
48	37.997333820495314
49	37.98582477830117
50	37.94463671641811
51	38.0244718070212
52	38.04598090055785
53	38.04215590540683
54	37.83795609339751
55	37.86720817187799
56	37.946432292089284
57	37.95871272456172
58	37.88353067509333
59	37.849634805389236
60	37.783022919669186
61	37.760647891301765
62	37.80409847592987
63	37.81441446128896
64	37.73644318647489
65	37.76997430685785
66	37.6993278191475
67	37.76248949078648
68	37.65897705040625
69	37.61172860369963
70	37.65978436667848
71	37.65415334290616
72	37.587243158565485
73	37.531961546743155
74	37.532418280373534
75	37.52765650873641
76	37.40949037573593
77	36.48310845244074
78	36.884562147544145
79	37.31376742312632
80	37.41590324273665
81	37.54053434506438
82	37.54712558118382
83	37.573098070654375
84	37.48450884768448
85	37.3889485531095
86	37.395332907809895
87	37.329834780208
88	37.33598685477517
89	37.30411869772209
90	37.23139111766552
91	37.194345796390984
92	37.10481562621616
93	37.0732837061839
94	37.03168262200622
95	36.85190963106661
96	36.86780801209404
97	36.86914974473205
98	36.79507467286664
99	36.544669336119426
100	36.62407719094846
101	34.65798544892633
